service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
499,20240101,20251231,1,1,1,1,1,1,1
495,20240101,20251231,1,1,1,1,1,1,1
496,20240101,20251231,1,1,1,1,1,1,1
497,20240101,20251231,1,1,1,1,1,1,1
490,20240101,20251231,1,1,1,1,1,1,1
492,20240101,20251231,1,1,1,1,1,1,1
541,20240101,20270705,1,1,1,1,0,1,1
269,20240101,20251231,0,1,0,1,0,1,0
537,20240101,20270702,0,1,0,1,0,0,0
536,20240101,20270630,1,0,1,0,1,0,0
535,20240101,20270702,1,0,1,0,1,0,0
534,20240101,20270609,0,0,1,0,1,0,1
533,20240101,20250101,0,0,1,0,1,0,1
371,20240101,20251231,1,1,1,1,1,0,1
539,20240101,20270705,1,1,1,1,1,1,1
538,20240101,20270702,0,0,0,0,0,0,1
270,20240101,20251231,0,0,1,0,1,0,1
397,20240101,20251231,0,0,0,0,0,0,1
396,20240101,20251231,0,1,0,1,0,0,0
112,20240101,20251231,1,0,0,0,1,0,0
278,20240101,20251231,0,1,0,0,0,0,0
279,20240101,20251231,0,0,0,0,1,0,0
525,20240101,20250101,0,1,0,0,0,0,1
526,20240101,20250101,0,0,0,1,0,1,0
520,20240101,20251231,1,1,1,1,1,1,1
449,20240101,20251231,1,1,1,1,1,1,0
443,20240101,20251231,1,1,1,1,1,1,1
442,20240101,20251231,1,1,1,1,1,1,1
388,20240101,20240930,0,0,0,0,0,1,0
519,20240527,20251231,1,1,1,1,1,1,1
518,20240527,20251231,1,1,1,1,1,1,0
511,20240101,20251231,0,0,0,0,0,1,1
510,20240101,20251231,1,1,1,1,1,0,0
513,20240101,20251231,1,1,1,1,1,1,1
512,20240101,20251231,1,1,1,1,1,1,1
433,20240101,20251231,0,0,0,0,0,1,1
517,20240101,20251231,1,1,1,1,1,1,1
516,20240101,20251231,1,1,1,1,1,1,1
458,20240101,20251231,1,1,1,1,1,1,1
459,20240101,20251231,1,1,1,1,1,1,1
450,20240101,20251231,1,1,1,1,1,1,1
451,20240101,20251231,1,1,1,1,1,1,1
452,20240101,20251231,1,1,1,1,1,0,1
453,20240101,20251231,1,1,1,1,1,1,0
454,20240101,20251231,1,1,1,1,1,1,1
455,20240101,20251231,1,1,1,1,1,1,1
456,20240101,20251231,1,1,1,1,1,0,1
482,20240527,20251231,1,1,1,1,1,1,0
508,20240101,20251231,1,1,1,1,1,1,1
504,20240101,20251231,0,0,1,0,1,0,1
505,20240101,20251231,0,0,1,0,1,0,1
502,20240101,20251231,1,1,1,1,1,1,1
503,20240101,20251231,1,1,1,1,1,1,1
500,20240101,20251231,1,1,1,1,1,1,1
467,20240101,20251231,1,1,1,1,1,0,0
466,20240101,20251231,1,1,1,1,1,1,1
461,20240101,20251231,1,1,1,1,1,1,1
460,20240101,20251231,0,0,0,1,1,0,1
463,20240101,20251231,1,1,1,1,1,1,1
462,20240101,20251231,1,1,1,1,1,1,1
91,20240101,20251231,1,1,1,1,1,1,1
93,20240101,20251231,1,1,1,1,1,1,1
95,20240101,20251231,0,0,0,0,1,0,0
111,20240101,20251231,0,0,1,0,0,0,1
554,20240101,20251231,1,1,1,1,1,1,1
489,20240101,20251231,1,1,1,1,1,1,1
488,20240101,20251231,1,1,1,1,1,1,1
487,20240101,20251231,0,0,0,0,1,0,1
486,20240101,20251231,1,1,1,1,1,1,1
485,20240101,20251231,1,0,0,0,1,0,1
484,20240527,20251231,1,1,1,1,0,0,0
434,20240101,20251231,1,1,1,1,1,0,0
481,20240101,20251231,1,1,1,1,1,0,1
472,20240101,20251231,1,1,1,1,1,1,1
473,20240101,20251231,1,1,1,1,1,1,1
470,20240101,20251231,1,1,1,1,1,1,1
471,20240101,20240930,1,1,1,1,1,0,0
476,20240101,20251231,1,1,1,1,1,1,1
477,20240101,20251231,1,1,1,1,1,1,1
474,20240101,20240930,1,1,1,1,1,0,1
475,20240101,20251231,1,1,1,1,1,1,1
478,20240101,20251231,1,1,1,1,1,0,1
479,20240101,20251231,1,1,1,1,1,1,1
557,20240101,20251231,1,1,1,1,1,0,0
556,20241104,20251231,0,0,0,0,0,1,1
558,20241104,20251231,0,0,0,0,0,1,1
