service_id,date,exception_type
269,20241224,2
269,20241231,2
534,20241225,2
533,20241225,2
371,20241224,2
371,20241225,2
371,20241226,2
371,20241227,2
371,20241229,2
371,20241230,2
371,20241231,2
371,20250101,2
371,20250102,2
371,20250103,2
270,20241225,2
270,20250101,2
520,20241220,2
520,20241225,2
520,20241227,2
520,20250103,2
388,20240817,2
388,20240824,2
388,20240831,2
388,20240907,2
388,20240914,2
388,20240921,2
388,20240928,2
519,20241225,2
518,20241225,2
518,20241226,2
518,20241227,2
518,20241228,2
518,20241230,2
518,20241231,2
518,20250101,2
518,20250102,2
518,20250103,2
518,20250104,2
91,20241216,2
91,20241217,2
91,20241218,2
91,20241219,2
91,20241220,2
91,20241222,2
91,20241223,2
91,20241224,2
91,20241225,2
91,20241226,2
91,20241227,2
91,20241229,2
91,20241230,2
91,20241231,2
91,20250101,2
91,20250102,2
91,20250103,2
91,20250105,2
91,20250106,2
91,20250107,2
91,20250108,2
486,20241216,2
486,20241217,2
486,20241218,2
486,20241219,2
486,20241221,2
486,20241223,2
486,20241224,2
486,20241225,2
486,20241226,2
486,20241228,2
486,20241230,2
486,20241231,2
486,20250101,2
486,20250102,2
486,20250104,2
486,20250106,2
486,20250107,2
486,20250108,2
484,20241225,2
484,20241226,2
484,20250101,2
470,20241224,2
470,20241225,2
470,20241231,2
470,20250101,2
471,20240816,2
471,20240819,2
471,20240820,2
471,20240821,2
471,20240822,2
471,20240823,2
471,20240826,2
471,20240827,2
471,20240828,2
471,20240829,2
471,20240830,2
471,20240902,2
471,20240903,2
471,20240904,2
471,20240905,2
471,20240906,2
471,20240909,2
471,20240910,2
471,20240911,2
471,20240912,2
471,20240913,2
471,20240916,2
471,20240917,2
471,20240918,2
471,20240919,2
471,20240920,2
471,20240923,2
471,20240924,2
471,20240925,2
471,20240926,2
471,20240927,2
471,20240930,2
477,20241225,2
477,20250101,2
474,20240816,2
474,20240818,2
474,20240819,2
474,20240820,2
474,20240821,2
474,20240822,2
474,20240823,2
474,20240825,2
474,20240826,2
474,20240827,2
474,20240828,2
474,20240829,2
474,20240830,2
474,20240901,2
474,20240902,2
474,20240903,2
474,20240904,2
474,20240905,2
474,20240906,2
474,20240908,2
474,20240909,2
474,20240910,2
474,20240911,2
474,20240912,2
474,20240913,2
474,20240915,2
474,20240916,2
474,20240917,2
474,20240918,2
474,20240919,2
474,20240920,2
474,20240922,2
474,20240923,2
474,20240924,2
474,20240925,2
474,20240926,2
474,20240927,2
474,20240929,2
474,20240930,2
478,20241226,2
557,20241225,2
557,20241226,2
557,20250101,2
557,20250102,2
