trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,ticketing_type
499,17:40:00,17:40:00,119,1,,,,,1,
499,18:00:00,18:01:00,34,2,,,,23734.4,1,
499,18:12:00,18:14:00,322,3,,,,34150.2,1,
499,18:24:00,18:26:00,6,4,,,,47066.7,1,
499,18:49:00,18:51:00,70,5,,,,78192.9,1,
499,19:16:00,19:18:00,114,6,,,,100589.6,1,
499,19:57:00,19:59:00,7,7,,,,142217.9,1,
499,20:25:00,20:27:00,11,8,,,,160082.4,1,
499,21:13:00,21:18:00,93,9,,,,194855.1,1,
499,21:39:00,21:41:00,14,10,,,,227069.5,1,
499,22:07:00,22:09:00,280,11,,,,267783.8,1,
499,22:24:00,22:24:00,341,12,,,,289524.0,1,
495,08:43:00,08:43:00,618,1,,,,,1,
495,09:25:00,09:29:00,601,2,,,,70565.8,1,
495,10:05:00,10:06:00,78,3,,,,125076.6,1,
495,10:39:00,10:47:00,93,4,,,,174040.5,1,
495,11:07:00,11:08:00,323,5,,,,204755.1,1,
495,11:23:00,11:26:00,282,6,,,,219902.8,1,
495,11:55:00,11:58:00,162,7,,,,262584.2,1,
495,12:29:00,12:32:00,600,8,,,,303238.4,1,
495,12:45:00,12:47:00,436,9,,,,324417.7,1,
495,13:11:00,13:11:00,119,10,,,,358768.9,1,
496,13:46:00,13:46:00,618,1,,,,,1,
496,14:28:00,14:31:00,601,2,,,,70565.8,1,
496,15:03:00,15:04:00,78,3,,,,125076.6,1,
496,15:38:00,15:44:00,93,4,,,,174040.5,1,
496,16:39:00,16:41:00,162,5,,,,262584.2,1,
496,17:10:00,17:14:00,600,6,,,,303238.4,1,
496,17:27:00,17:29:00,436,7,,,,324417.7,1,
496,17:53:00,17:53:00,119,8,,,,358768.9,1,
497,17:40:00,17:40:00,618,1,,,,,1,
497,18:24:00,18:28:00,601,2,,,,70565.8,1,
497,18:59:00,19:00:00,78,3,,,,125076.6,1,
497,19:32:00,19:38:00,93,4,,,,174040.5,1,
497,19:57:00,19:58:00,323,5,,,,204755.1,1,
497,20:08:00,20:10:00,282,6,,,,219902.8,1,
497,20:39:00,20:41:00,162,7,,,,262584.2,1,
497,21:09:00,21:11:00,600,8,,,,303238.4,1,
497,21:24:00,21:26:00,436,9,,,,324417.7,1,
497,21:50:00,21:50:00,119,10,,,,358768.9,1,
490,17:22:00,17:22:00,119,1,,,,,1,
490,17:45:00,17:48:00,436,2,,,,34351.2,1,
490,18:01:00,18:04:00,600,3,,,,55530.4,1,
490,18:33:00,18:36:00,162,4,,,,96184.6,1,
490,19:04:00,19:06:00,282,5,,,,138866.1,1,
490,19:19:00,19:20:00,323,6,,,,154013.8,1,
490,19:47:00,19:53:00,93,7,,,,184728.4,1,
490,20:21:00,20:22:00,78,8,,,,233692.2,1,
490,20:55:00,20:58:00,601,9,,,,288203.1,1,
490,21:50:00,21:50:00,618,10,,,,358768.9,1,
492,05:35:00,05:35:00,618,1,,,,,1,
492,06:19:00,06:23:00,601,2,,,,70565.8,1,
492,07:25:00,07:35:00,93,3,,,,174040.5,1,
492,07:55:00,07:57:00,323,4,,,,204755.1,1,
492,08:08:00,08:12:00,282,5,,,,219902.8,1,
492,08:44:00,08:48:00,162,6,,,,262584.2,1,
492,09:25:00,09:31:00,600,7,,,,303238.4,1,
492,09:43:00,09:46:00,436,8,,,,324417.7,1,
492,10:10:00,10:10:00,119,9,,,,358768.9,1,
541,14:17:00,14:17:00,617,1,,,,1.0,1,
541,15:03:00,15:05:00,344,2,,,,86059.5,1,
541,15:49:00,15:53:00,332,3,,,,167336.8,1,
541,16:15:00,16:40:00,226,4,,,,185451.1,1,
541,16:53:00,16:54:00,343,5,,,,191559.8,1,
541,17:20:00,17:21:00,631,6,,,,238690.8,1,
541,18:05:00,18:07:00,630,7,,,,285376.4,1,
541,19:44:00,19:46:00,492,8,,,,430262.6,1,
541,19:52:00,19:54:00,629,9,,1,,435508.0,1,
541,20:19:00,20:19:00,628,10,,,,455299.5,1,
269,09:00:00,09:00:00,621,1,,,,,1,
269,09:10:00,09:10:00,220,2,,3,3,,1,
269,09:15:00,09:15:00,2,3,,3,3,,1,
269,09:19:00,09:19:00,184,4,,3,3,,1,
269,09:30:00,09:30:00,192,5,,3,3,,1,
269,09:45:00,09:50:00,312,6,,,,,1,
269,10:05:00,10:05:00,199,7,,3,3,,1,
269,10:12:00,10:12:00,329,8,,3,3,,1,
269,10:25:00,10:25:00,248,9,,3,3,,1,
269,10:30:00,10:30:00,287,10,,3,3,,1,
269,10:40:00,10:40:00,639,11,,,,,1,
269,10:50:00,10:50:00,218,12,,3,3,,1,
