stop_id,stop_code,stop_name,location_type,stop_lon,stop_lat,stop_timezone,parent_station,wheelchair_boarding
199,BENN,Benny,0,-81.630163,46.781815,America/Toronto,,
344,ALEX,Alexandria,0,-74.639672,45.31805,America/Toronto,,1
345,YONK,Yonkers,0,-73.9025018097,40.9355734276,America/New_York,,
346,NIAG,Niagara Falls,0,-79.0633386904,43.1089370258,America/New_York,,1
347,OCHR,Ochre River,0,-99.7818673939,51.0613988567,America/Winnipeg,,
340,WVHO,Wivenhoe,0,-95.213765,56.176547,America/Winnipeg,,
341,SARN,Sarnia,0,-82.38892,42.95709,America/Toronto,,1
342,MJLI,Mont-Joli,0,-68.188993,48.589238,America/Toronto,,2
343,SLAM,Saint-Lambert,0,-73.5074597921,45.4990791825,America/Toronto,,
348,OROK,Orok,0,-101.058596,53.957776,America/Winnipeg,,
298,MSNH,Mission Harbour,0,-122.303479458,49.1284044691,America/Vancouver,,
299,WNDG,Windigo,0,-73.334097,47.77122,America/Toronto,,
296,AGAS,Agassiz,0,-121.764238,49.239552,America/Vancouver,,
297,THIB,Thibaudeau,0,-94.146446,57.082879,America/Winnipeg,,
294,TELK,Telkwa,0,-127.050533767,54.6914023016,America/Vancouver,,
295,SMRB,Saint-Maurice Rivière Boom,0,-73.749198,47.898494,America/Toronto,,
292,TIMB,Timbrell,0,-74.764449,47.968028,America/Toronto,,
293,OBRI,O'Brien,0,-85.139115,48.517478,America/Toronto,,
290,SIPI,Sipiwesk,0,-97.388531,55.462715,America/Winnipeg,,
195,CEDA,Cedarvale,0,-128.323192,55.020764,America/Vancouver,,
197,HERC,Herchmer,0,-94.190914,57.387128,America/Winnipeg,,
191,ROCH,Rochester,0,-77.6083768896,43.1637003133,America/New_York,,
190,BDNC,Club Beaudin,0,-75.896548,48.211017,America/Toronto,,
193,BRMT,Bourmont,0,-75.831881,48.200523,America/Toronto,,
192,LEVA,Levack,0,-81.434048,46.616805,America/Toronto,,
270,USKX,Usk,0,-128.416014,54.636477,America/Vancouver,,
273,BBAR,Boston Bar,0,-121.444652,49.86938,America/Vancouver,,
274,HOPE,Hope,0,-121.436475571,49.3789211444,America/Vancouver,,
276,OSKR,Rivière Oskélanéo,0,-75.204927,48.10816,America/Toronto,,
277,CHIL,Chilliwack,0,-121.951861453,49.1639564067,America/Vancouver,,
278,AMRY,Amery,0,-94.071896,56.559037,America/Winnipeg,,
449,EDMO,Edmonton,0,-113.530943532,53.5788568398,America/Edmonton,,1
448,GRNG,Greening,0,-74.968387,48.117385,America/Toronto,,
442,HUTT,Hutton,0,-121.621631,53.988689,America/Vancouver,,
441,FITZ,Fitzpatrick,0,-72.773522,47.484804,America/Toronto,,
440,FING,Finger,0,-100.873889,54.006944,America/Winnipeg,,
446,DYCE,Dyce,0,-100.17011,54.364476,America/Winnipeg,,
445,TOGO,Togo,0,-101.58655,51.403019,America/Regina,,
444,JONQ,Jonquière,0,-71.2544,48.41189,America/Toronto,,
108,SAVL,Savant Lake,0,-90.7064802526,50.2385299654,America/Winnipeg,,
109,ALWB,Allanwater Bridge,0,-90.1668862897,50.2406653823,America/Winnipeg,,
102,AUDN,Auden,0,-87.8898751779,50.2291662511,America/Toronto,,
103,FERL,Ferland,0,-88.4259900919,50.3144192767,America/Toronto,,
100,KAMS,Kamsack,0,-101.903632907,51.5617751686,America/Regina,,
101,MUDR,Mud River,0,-88.5166489767,50.3185245402,America/Toronto,,
106,ARMG,Armstrong,0,-89.037603,50.301424,America/Toronto,,
107,FLTL,Flindt Landing,0,-90.477618,50.242603,America/Winnipeg,,
